Date,Open,High,Low,Close
29-Mar-95,"4,151.80","4,198.84","4,139.70","4,160.80"
28-Mar-95,"4,156.65","4,156.65","4,137.63","4,151.81"
27-Mar-95,"4,138.70","4,157.34","4,132.10","4,157.34"
24-Mar-95,"4,087.80","4,139.36","4,087.14","4,138.67"
23-Mar-95,"4,083.00","4,094.75","4,068.12","4,087.83"
22-Mar-95,"4,072.60","4,082.99","4,060.51","4,082.99"
21-Mar-95,"4,083.70","4,109.27","4,061.89","4,072.61"
20-Mar-95,"4,073.70","4,088.87","4,071.57","4,083.68"
17-Mar-95,"4,069.20","4,080.22","4,058.78","4,073.65"
16-Mar-95,"4,038.40","4,075.38","4,038.03","4,069.15"
15-Mar-95,"4,048.80","4,054.63","4,029.04","4,038.37"
14-Mar-95,"4,025.60","4,060.51","4,025.58","4,048.75"
13-Mar-95,"4,035.60","4,042.52","4,019.70","4,025.23"
10-Mar-95,"3,984.10","4,048.40","3,984.08","4,035.61"
09-Mar-95,"3,979.20","3,993.76","3,971.28","3,983.39"
08-Mar-95,"3,962.60","3,985.46","3,956.06","3,979.23"
07-Mar-95,"3,997.60","3,997.91","3,945.69","3,962.63"
06-Mar-95,"3,989.60","4,001.02","3,955.37","3,997.56"
03-Mar-95,"3,979.90","3,989.61","3,959.18","3,989.61"
02-Mar-95,"3,994.80","3,995.49","3,959.18","3,979.93"
01-Mar-95,"4,011.10","4,014.51","3,985.11","3,994.80"
28-Feb-95,"3,988.60","4,011.05","3,978.89","4,011.05"
27-Feb-95,"4,011.70","4,021.23","3,974.74","3,988.57"
24-Feb-95,"4,003.30","4,013.09","3,990.88","4,011.74"
23-Feb-95,"3,973.73","4,020.49","3,973.73","4,003.33"
22-Feb-95,"3,964.00","3,986.85","3,962.29","3,973.05"
21-Feb-95,"3,953.50","3,969.69","3,952.53","3,963.97"
17-Feb-95,"3,969.69","3,969.69","3,952.53","3,953.54"
16-Feb-95,"3,986.20","3,987.52","3,964.31","3,987.52"
15-Feb-95,"3,958.30","3,997.95","3,953.20","3,986.17"
14-Feb-95,"3,954.20","3,965.65","3,949.50","3,958.25"
13-Feb-95,"3,939.10","3,956.90","3,935.03","3,954.21"
10-Feb-95,"3,932.70","3,945.13","3,923.93","3,939.07"
09-Feb-95,"3,935.40","3,948.83","3,928.31","3,932.68"
08-Feb-95,"3,937.40","3,953.54","3,930.66","3,935.37"
07-Feb-95,"3,937.70","3,942.10","3,924.94","3,937.39"
06-Feb-95,"3,928.60","3,948.83","3,920.57","3,937.73"
03-Feb-95,"3,872.12","3,944.46","3,872.12","3,928.64"
02-Feb-95,"3,847.60","3,871.11","3,843.86","3,870.77"
01-Feb-95,"3,843.90","3,868.08","3,831.41","3,847.56"
31-Jan-95,"3,832.10","3,851.93","3,828.05","3,843.86"
30-Jan-95,"3,858.00","3,859.00","3,817.26","3,832.08"
27-Jan-95,"3,870.40","3,887.26","3,848.23","3,857.99"
26-Jan-95,"3,871.40","3,879.52","3,853.28","3,870.44"
25-Jan-95,"3,862.70","3,891.30","3,845.88","3,871.45"
24-Jan-95,"3,867.40","3,876.49","3,862.36","3,862.70"
23-Jan-95,"3,869.40","3,871.11","3,838.48","3,867.41"
20-Jan-95,"3,882.20","3,882.55","3,847.22","3,869.43"
19-Jan-95,"3,928.30","3,928.31","3,878.51","3,882.21"
18-Jan-95,"3,930.70","3,931.33","3,906.10","3,928.98"
17-Jan-95,"3,932.30","3,934.70","3,916.19","3,930.66"
16-Jan-95,"3,908.50","3,936.72","3,907.45","3,932.34"
13-Jan-95,"3,859.00","3,910.14","3,859.00","3,908.46"
12-Jan-95,"3,862.00","3,864.05","3,851.26","3,859.00"
11-Jan-95,"3,866.70","3,882.89","3,840.16","3,862.03"
10-Jan-95,"3,861.40","3,898.70","3,861.35","3,866.74"
09-Jan-95,"3,867.40","3,874.48","3,853.28","3,861.35"
06-Jan-95,"3,850.90","3,887.26","3,841.84","3,867.41"
05-Jan-95,"3,857.60","3,860.68","3,843.19","3,850.92"
04-Jan-95,"3,838.50","3,857.99","3,831.07","3,857.65"
03-Jan-95,"3,834.40","3,845.20","3,827.71","3,838.48"
30-Dec-94,"3,833.40","3,850.59","3,833.09","3,834.44"
29-Dec-94,"3,839.50","3,847.90","3,832.42","3,833.43"
28-Dec-94,"3,861.70","3,862.36","3,826.03","3,839.49"
27-Dec-94,"3,833.80","3,866.40","3,833.77","3,861.69"
23-Dec-94,"3,814.90","3,846.89","3,812.57","3,833.43"
22-Dec-94,"3,801.80","3,829.06","3,800.79","3,814.92"
21-Dec-94,"3,768.20","3,817.95","3,768.16","3,801.80"
20-Dec-94,"3,790.70","3,791.04","3,767.15","3,767.15"
19-Dec-94,"3,806.85","3,806.85","3,780.94","3,790.70"
16-Dec-94,"3,765.80","3,807.19","3,765.80","3,807.19"
15-Dec-94,"3,746.30","3,775.90","3,743.60","3,765.47"
14-Dec-94,"3,715.30","3,758.74","3,713.66","3,746.29"
13-Dec-94,"3,718.40","3,727.45","3,710.29","3,715.34"
12-Dec-94,"3,691.10","3,718.37","3,682.03","3,718.37"
09-Dec-94,"3,685.70","3,691.11","3,655.11","3,691.11"
08-Dec-94,"3,735.50","3,742.93","3,677.66","3,685.73"
07-Dec-94,"3,744.90","3,744.94","3,718.03","3,735.52"
06-Dec-94,"3,741.90","3,749.32","3,716.01","3,745.95"
05-Dec-94,"3,745.60","3,762.78","3,727.11","3,741.92"
02-Dec-94,"3,700.90","3,745.95","3,690.44","3,745.62"
01-Dec-94,"3,739.20","3,743.26","3,690.44","3,700.87"
30-Nov-94,"3,738.60","3,763.11","3,731.15","3,739.23"
29-Nov-94,"3,739.60","3,742.93","3,717.69","3,738.55"
28-Nov-94,"3,708.30","3,741.92","3,707.94","3,739.56"
25-Nov-94,"3,674.60","3,713.32","3,673.96","3,708.27"
23-Nov-94,"3,678.00","3,685.73","3,638.63","3,674.63"
22-Nov-94,"3,769.50","3,770.18","3,677.99","3,677.99"
21-Nov-94,"3,815.30","3,833.43","3,763.45","3,769.51"
18-Nov-94,"3,828.05","3,828.05","3,784.98","3,815.26"
17-Nov-94,"3,845.20","3,849.58","3,808.53","3,828.05"
16-Nov-94,"3,826.40","3,845.54","3,820.31","3,845.20"
15-Nov-94,"3,829.70","3,856.31","3,807.86","3,826.36"
14-Nov-94,"3,801.50","3,833.43","3,800.46","3,829.73"
11-Nov-94,"3,821.65","3,821.65","3,795.41","3,801.47"
10-Nov-94,"3,831.80","3,858.66","3,814.92","3,821.99"
09-Nov-94,"3,810.60","3,868.80","3,810.55","3,831.75"
08-Nov-94,"3,808.90","3,846.55","3,808.87","3,830.74"
