Row Labels,Average of NO2 Mean,Average of O3 Mean,Average of SO2 Mean,Average of CO Mean
36526,19.041667,0.0225,2.9875,1.01239
36527,22.958333,0.013375,1.9479165,0.9583335
36528,38.125,0.007958,5.225,1.8458335
36529,40.26087,0.014167,7.0666665,1.910417
36530,48.45,0.006667,8.7041665,2.6604165
36531,39.95,0.01175,6.914286,2.141123
36532,29.625,0.011625,8.6520835,2.0958335
36533,29.666667,0.00975,8.23125,2.6645835
36534,25.083333,0.010792,6.4875,1.7020835
36535,37.666667,0.008458,9.9416665,2.260417
36536,50.5,0.008417,11.6125,2.56875
36537,49.125,0.008208,10.8958335,2.30625
36538,73.285714,0.006167,11.359524,3.0473485
36539,66.541667,0.008708,11.60625,3.29375
36540,53.166667,0.010625,9.5666665,2.4645835
36541,45.75,0.01075,6.4479165,1.7625
36542,59.25,0.008375,8.475,2.1104165
36543,66.791667,0.006333,12.1458335,2.941667
36544,59.041667,0.006958,10.1520835,2.5916665
36545,48.357143,0.0085,9.445652,2.2992425
36546,54.5,0.008542,7.9291665,1.9666665
36547,38.083333,0.010583,6.8625,1.89375
36548,37.958333,0.016292,6.7770835,1.9208335
36549,53.333333,0.011417,9.0666665,1.985417
36550,42.583333,0.009917,7.8166665,1.391667
36551,27.217391,0.01775,3.331818,0.8137685
36552,33.375,0.014,4.0821055,1.0354165
36553,36.875,0.013,4.2511905,1.4458335
36554,39.625,0.017083,6.312281,1.8666665
36555,35.208333,0.01675,2.5666665,1.3645835
36556,37.913043,0.012958,3.6778945,1.468371
36557,34.583333,0.018833,4.6038095,1.4729165
36558,41.043478,0.016333,5.9481365,1.358605
36559,45.833333,0.015792,5.7833335,1.4375
36560,53.333333,0.012292,8.1520835,2.2145835
36561,42.458333,0.017583,4.3229165,1.7770835
36562,37.875,0.019208,5.127778,1.7291665
36563,50.208333,0.015792,8.9833335,2.2208335
36564,57.833333,0.01025,7.44441,2.1895835
36565,41.086957,0.0125,4.7892855,1.363315
36566,32.909091,0.015125,2.905702,1.1285985
36567,37.208333,0.014792,2.3583335,1.116667
36568,23.208333,0.023542,1.2541665,0.7520835
36569,26.708333,0.019417,1.0125,0.720833
36570,33.782609,0.014208,2.7583335,1.1000905
36571,40.625,0.013167,5.4875,1.729167
36572,49.958333,0.006667,6.3229165,1.7458335
36573,22.227273,0.025958,1.2869045,0.7145835
36574,38.958333,0.012292,3.1520835,1.3792645
36575,46.166667,0.011458,6.8104165,1.85
36576,28.291667,0.013917,3.3958335,1.347917
36577,18.708333,0.01525,0.3866665,0.4
36578,31.416667,0.015625,0.812353,0.691667
36579,33.625,0.015042,1.6686335,0.7395835
36580,23.130435,0.023042,0.841667,0.5311595
36581,35.583333,0.016,3.1791665,0.9229165
36582,36.875,0.01875,4.5208335,1.14375
36583,37.833333,0.023833,4.2375,1.49375
36584,20.304348,0.024917,0.693182,0.512311
36585,36.583333,0.017375,4.1125,0.997917
36586,33.869565,0.01725,2.17205,0.9852355
36587,38.666667,0.017375,3.5666665,1.0375
36588,35.916667,0.019875,3.4416665,1.09375
36589,26.958333,0.026583,1.7833335,0.7583335
36590,18.583333,0.028792,0,0.43125
36591,27.416667,0.020125,0,0.5208335
36592,24.083333,0.020917,0,0.45
36593,27.583333,0.021292,0.884737,0.708333
36594,31.541667,0.019292,0.177019,1.1354165
36595,37.136364,0.017792,0.3223605,1.294475
36596,41.583333,0.02225,0.192857,1.7229165
36597,38.208333,0.023208,0.092857,1.6541665
36598,39.652174,0.021542,0.425155,0.946286
36599,44.25,0.021125,0.4863355,1.245833
36600,40.652174,0.020917,0.338095,1.184692
36601,36.416667,0.022083,0.060559,0.9020835
36602,33.875,0.023167,0.079193,0.8895835
36603,31.125,0.025625,0.295031,0.7166665
36604,26.875,0.031417,0.3180125,0.6229165
36605,22.416667,0.031292,0.272671,0.6854165
36606,24.434783,0.024417,0.2409935,0.4091485
36607,33.291667,0.022,0.3538095,0.660417
36608,38.541667,0.021042,0.1857145,0.933333
36609,47.791667,0.020125,0.26118,1.2416665
36610,40,0.028667,0.231677,1.2895835
36611,33.166667,0.029875,0.0807455,1.3791665
36612,31.478261,0.026167,0.1863355,0.944384
36613,25.428571,0.018958,0.227329,0.531439
36614,29.541667,0.024542,0.3166665,0.7291665
36615,31.458333,0.025125,0.2245345,0.8083335
36616,28.458333,0.021,0.1608335,0.5604165
36617,26.833333,0.027792,1.0634615,0.7520835
36618,29.041667,0.029875,1.8717645,0.8479165
36619,34.333333,0.023958,1.795,0.8729165
36620,37,0.024458,2.12125,1.016667
36621,39.5,0.01025,1.897619,1.4297205
36622,32.791667,0.019958,2.255263,1.75
36623,33.461538,0.022,2.9020835,2.7
36627,33.928571,0.023708,2.4083335,0.8833335
36628,44.238095,0.018238,3.443182,1.4589015
36629,37.090909,0.035417,1.4045455,1.034873
36630,13.125,0.032167,1.2666665,0.541667
36631,20.166667,0.029375,0.6921055,0.522917
36632,24.375,0.028917,0.460606,0.65
36633,23.157895,0.026333,0.8916665,0.602083
36634,8.666667,0.039167,0,0.310417
36635,31.166667,0.030083,0.85,0.625
36636,41.153846,0.023833,2.654348,1.499524
36637,7.625,0.031167,1.949068,1.15
36638,17.708333,0.039583,0.175,0.46875
36639,25.083333,0.032708,1.0860245,0.8645835
36640,36.5,0.026083,2.035404,1.255303
36641,43.125,0.025042,2.9083335,1.49375
36642,41.833333,0.02575,2.8559005,1.4479165
36643,35.304348,0.020684,2.0673685,1.3134925
36644,26.590909,0.030708,0.877778,0.73125
36645,15.458333,0.045708,0.063816,0.472917
36646,25.416667,0.037625,0.848889,0.7041665
36647,3.791667,0.033417,3.530357,1.272917
36648,4.416667,0.029167,2.818889,1.25625
36649,3.441667,0.029083,1.99375,1.19375
36650,3.236364,0.024083,0.95625,0.9145835
36651,2.45,0.021792,1.2278845,0.8229165
36652,1.854167,0.025792,0.8333335,0.65625
36653,1.554167,0.028708,0.0555555,0.5479165
36654,1.181818,0.029222,0.275,0.395294
36655,2.729167,0.028208,0.6979165,0.81875
36656,1.383333,0.026292,0.0431675,0.4333335
36657,1.270833,0.045625,0,0.4321555
36658,3.7,0.035583,1.4479165,0.7166665
36659,5.03125,0.035458,3.1583335,1.5125
36660,3.458333,0.037125,2.9479165,1.364583
36661,3.425,0.030958,1.4020835,1.125
36662,0.8,0.046708,0,0.41875
36663,1.704167,0.033708,0.8166665,0.552083
36664,4.685714,0.028625,2.0545455,0.7797345
36665,4.1,0.037375,3.3022725,1.0625
36670,2.072727,0.032292,1.7770835,0.535417
36671,2.575,0.028708,1.8229165,0.568116
36672,2.891667,0.028417,1.0227275,0.4979165
36673,2.725,0.034708,0.7708335,0.4583335
36674,2.341667,0.034292,1.1520835,0.5479165
36675,3.769565,0.032208,3.0208335,0.729167
36676,3.991667,0.02775,3.4020835,0.827083
36677,2.966667,0.026333,2.2770835,0.508333
36678,38.5,0.019917,2.23125,0.5977275
36679,29.375,0.021042,1.2863635,0.5625
36680,38.5,0.023083,2.3625,0.80625
36681,33.833333,0.028167,1.60625,0.8583335
36682,44.285714,0.031083,2.1694805,0.983877
36683,39.227273,0.033083,2.3305195,0.7645835
36684,34.791667,0.031917,2.0729165,0.825
36685,22.571429,0.029208,0.8958335,0.284659
36686,22.958333,0.028875,0.3466665,0.3291665
36687,30.125,0.028042,0.668944,0.500453
36688,29.291667,0.034917,1.0666665,0.6625
36689,35.7,0.025417,1.6916665,0.5041665
36690,34.875,0.0275,2.0729165,0.5875
36691,26,0.031542,0.8625,0.3604165
36692,28.333333,0.027792,1.1125,0.398951
36693,20.333333,0.02825,0.5454545,0.27906
36694,15.409091,0.034458,0.468939,0.2363635
36695,10.291667,0.03125,0.2545455,0.10625
36696,14.409091,0.020292,0.370476,0.187138
36697,23,0.017708,0.2833335,0.2729165
36698,26.5,0.031792,1.075,0.5270835
36699,34.958333,0.013417,1.3670805,0.5157895
36700,20.947368,0.02475,1.243182,0.5945725
36701,17.916667,0.012889,0.2166665,0.402778
36702,15.375,0.025,0,0.3875
36703,22.166667,0.022042,0.5729165,0.50625
36704,17.375,0.034333,0.25,0.3895835
36705,13.583333,0.039833,0.1396105,0.28125
36706,25.6,0.0395,0,0.524559
36707,16.083333,0.043125,0.0791665,0.5270835
36708,13.541667,0.031292,0.044156,0.4875
36709,15.833333,0.034583,0.125,0.514583
36710,18.782609,0.031125,0.269697,0.4820075
36711,24.333333,0.034625,0.5729165,0.6270835
36712,32.583333,0.026833,0.8166665,0.7104165
36713,25.428571,0.030833,0.55,0.5825185
36714,17,0.035875,0.225238,0.4916665
