Date,day,x,y,z,w
09/06/2021,1,4282.5,469.06,1017.5,1548.72
09/07/2021,2,4417.91,480.63,1041.88,1546.31
09/08/2021,3,3962.91,437.31,980.44,1497.8
09/09/2021,4,4086.81,413.44,983.56,1533.56
09/10/2021,5,4187.53,450.11,1005.84,1531.59
09/11/2021,6,3622.53,411.06,803.94,1220.14
09/12/2021,7,3477.22,409.88,701.63,1301.36
09/13/2021,8,2892.28,422.19,949.63,1510.84
09/14/2021,9,3504.22,415,1013.75,1533.88
09/15/2021,10,3454.34,401.5,1024.75,1544.22
09/16/2021,11,3728.78,411.56,967.5,1583.58
09/17/2021,12,3026.16,404.75,980.13,1326.05
09/18/2021,13,3501.97,367.81,739.25,1183.16
09/19/2021,14,4272.03,427.44,704.88,1379.98
09/20/2021,15,2494.72,439.44,990.5,1510.83
09/21/2021,16,2543.16,407.88,989.13,1513.8
09/22/2021,17,2960.94,404.69,944.75,1508.41
09/23/2021,18,3227.66,405.69,813.19,1554.05
09/24/2021,19,2806.62,414.42,934.39,1521.77
09/25/2021,20,2682.97,394.44,515.5,1175.86
09/26/2021,21,3523.69,338.12,819.06,1535.71
09/27/2021,22,3481.31,435.88,888.94,1563.98
09/28/2021,23,3844.84,428.88,957.25,1586.05
09/29/2021,24,4489.88,451.56,1016.13,1615.97
09/30/2021,25,4652.88,449.13,1037.63,1615.7
10/01/2021,26,3162.63,431.94,994.38,1443.53
10/02/2021,27,2898.25,387.44,990,1233.03
10/03/2021,28,2877.18,439.81,824.43,1306.8
10/04/2021,29,3257.94,433.81,970.19,1519.64
10/05/2021,30,3484.06,421.38,948.63,1551.86
10/06/2021,31,3530.13,407.56,1013.63,1583.59
44476,32,3697.5,413.06,949.5,1594.3
44477,33,3944.12,401.37,968.87,1444.66
44478,34,3421.88,389.63,663.13,1213.34
44479,34,2513.44,432.5,591,1278.06
44480,35,2621.44,432.88,959,1505.47
44481,36,2266.56,463.5,977.75,1467.38
44482,37,2385.75,465.56,958.88,1484.66
