"","x"
"1",421.3
"2",417.604178721036
"3",417.636127721949
"4",416.7675484846
"5",413.59554153755
"6",410.072702137816
"7",408.164233393003
"8",410.159062140476
"9",407.078140564966
"10",407.171436004917
"11",405.599577338923
"12",404.564447630854
"13",409.815374343225
"14",408.722025003597
"15",409.693320655903
"16",406.709182854846
"17",403.780868345866
"18",404.077167140847
"19",405.065072370235
"20",403.726136741065
"21",402.515587524277
"22",403.792640891447
"23",402.458601408138
"24",401.378460615999
"25",402.239703071153
"26",405.028168603839
"27",402.886202152225
"28",402.810172259983
"29",401.638258839119
"30",402.892724667891
"31",400.519797890992
"32",399.179634153521
"33",397.441694441456
"34",396.53712479788
"35",395.628413950025
"36",395.918736678376
"37",394.673399642085
"38",396.313094146967
"39",396.153430132338
"40",396.796190330527
"41",395.203692915924
"42",401.074858612305
"43",403.155183981221
"44",401.039267583373
"45",398.194536265539
"46",398.021520010855
"47",394.134405156718
"48",397.280337188083
"49",393.558421911502
"50",393.977004285158
"51",392.983079823421
"52",392.137885992082
"53",390.727167820225
"54",393.247121808716
"55",393.657794108849
"56",393.241226851029
"57",393.663454488007
"58",393.614165943988
"59",396.766312671699
"60",397.543736167706
"61",398.337988055455
"62",396.302015961844
"63",395.726176822958
"64",392.504753841024
"65",390.841302981302
"66",391.596806325381
"67",387.925360043366
"68",406.774028017007
"69",407.531791742692
"70",405.038346279045
"71",404.076135290423
"72",400.368788051113
"73",399.728541586641
"74",397.314143522954
"75",394.213025777765
"76",392.620351832985
"77",392.483150888154
"78",390.320854379101
"79",389.383384099927
"80",387.385857946446
"81",385.352100268202
"82",383.539976126996
"83",384.649563285287
"84",383.459051883554
"85",380.129800963199
"86",380.136396822546
"87",378.019682412481
"88",376.463349514268
"89",375.16028275147
"90",375.778330143886
"91",383.270940580625
"92",385.338187223004
"93",384.486728374814
"94",381.881363595185
"95",379.078371500195
"96",379.036682913906
"97",377.94457886942
"98",376.03706554053
"99",374.395295525181
"100",373.967933939107
"101",374.728800280186
"102",373.582211435901
"103",370.685867142071
"104",369.950002697375
"105",370.388757121425
"106",368.206617552902
"107",365.589839054972
"108",365.381874502381
"109",368.048867984635
"110",366.77716119038
"111",373.958147611126
"112",379.566113958141
"113",387.787689521792
"114",385.637910213737
"115",387.281085228314
"116",384.80086912262
"117",384.947410274066
"118",384.510189983793
"119",383.479504626229
"120",387.261228579815
"121",385.949286675342
"122",389.423688135123
"123",390.617859266
"124",386.934417194124
"125",387.878311899407
"126",385.786545827775
"127",384.468115904777
"128",381.044994286411
"129",377.293796278474
"130",381.47841400227
"131",379.268214554475
"132",378.52736622603
"133",380.611620089051
"134",380.652215943099
"135",382.593909909297
"136",388.349055552255
"137",388.987615021417
"138",387.937175582765
"139",386.566986333483
"140",384.526810605932
"141",385.860670665939
"142",384.133824725141
"143",383.471501284473
"144",382.469576454527
"145",384.979424968131
"146",383.296165767946
"147",385.894964460532
"148",385.587510102863
"149",382.516844729219
"150",380.689270972991
"151",379.527793053081
"152",376.98272420983
"153",377.256262227223
"154",375.5052937627
"155",381.577162955357
"156",384.224389638603
"157",384.208113246246
"158",381.204978582104
"159",382.555698010562
"160",379.235948075468
"161",379.924211408125
"162",379.124561687003
"163",385.366690256855
"164",384.10075055491
"165",382.869085752171
"166",380.532094798254
"167",378.092237790604
"168",376.686251380345
"169",383.703728595969
"170",380.927329835115
"171",378.952482356492
"172",380.626024848649
"173",381.436080298703
"174",377.968832845326
"175",379.339786018864
"176",377.722414443456
"177",374.933556147825
"178",375.724597758533
"179",373.890362507314
"180",376.3913619711
"181",374.034096035598
"182",374.320668116572
"183",377.910640093196
"184",377.817624568274
"185",376.130942498315
"186",377.20964344629
"187",380.181908927342
"188",377.413552433202
"189",387.510593520784
"190",386.076331669022
"191",383.959489081618
"192",382.750134508328
"193",380.361710444544
"194",377.751125425857
"195",375.486796993252
"196",375.541541933194
"197",378.380585502613
"198",376.088406679755
"199",375.778098592034
"200",380.001169292658
"201",379.374433569356
"202",377.37052263717
"203",377.757439106018
"204",375.894363141884
"205",376.092477210685
"206",377.074941391615
"207",374.332814872296
"208",371.736682941469
"209",369.400869377479
"210",366.370974943239
"211",365.687887374167
"212",368.054947176139
"213",370.73259038633
"214",369.758768357884
"215",368.701667436038
"216",367.188386936252
"217",369.277252364003
"218",367.11656911185
"219",366.867715992409
"220",363.717379303296
"221",363.603584972108
"222",364.833041593676
"223",361.842508251725
"224",368.975625861862
"225",376.269409410401
"226",374.427699064776
"227",372.359890828709
