"","x"
"1",254
"2",253.312706100896
"3",250.897824334044
"4",250.505245724774
"5",250.86862203725
"6",250.544075169617
"7",252.493447172886
"8",250.84178493842
"9",250.001541139262
"10",248.778825594612
"11",250.547332254948
"12",250.999864248765
"13",251.070344240966
"14",252.329867086942
"15",253.092849855741
"16",253.477283617887
"17",252.50180937828
"18",253.010650771489
"19",253.998371836672
"20",254.02016162117
"21",255.491780450786
"22",256.860750430839
"23",259.32623466702
"24",258.69829074746
"25",258.671233245235
"26",258.636252116657
"27",258.090464568684
"28",257.714727521599
"29",258.533839416624
"30",259.070780626922
"31",260.674063981957
"32",260.160045221149
"33",260.816196925955
"34",260.773797816178
"35",259.296851001031
"36",258.71763862453
"37",258.622068642571
"38",258.695297434242
"39",259.528922386924
"40",260.654712850311
"41",261.758443252427
"42",261.300281751921
"43",262.789478395986
"44",262.39899489332
"45",263.346417287583
"46",262.531505963605
"47",263.727120065497
"48",263.154457684837
"49",263.29530864195
"50",262.554089644819
"51",262.56191045538
"52",262.754469359362
"53",264.296671682489
"54",263.017821077267
"55",263.208056561844
"56",263.198492967185
"57",264.74630756806
"58",265.884669025523
"59",267.242099302787
"60",268.14560670291
"61",267.953035485102
"62",268.264949698491
"63",266.657669932561
"64",266.426434778081
"65",266.784546855704
"66",267.156935755375
"67",265.82058739218
"68",266.253101096745
"69",266.364220070352
"70",266.165289732991
"71",266.358185662304
"72",268.134735540448
"73",269.788555932802
"74",271.594084464044
"75",270.358102120347
"76",269.724655121942
"77",270.066008670681
"78",271.6797197508
"79",270.739079116795
"80",269.868972540957
"81",270.62271467596
"82",268.556951026944
"83",267.097473259656
"84",266.818403571547
"85",266.351741879591
"86",267.803378075847
"87",268.149965115531
"88",268.787518145083
"89",268.339709832002
"90",267.352503747896
"91",266.751305282187
"92",268.224483033481
"93",266.86599793587
"94",264.710698662274
"95",264.634167415318
"96",265.355027745397
"97",267.436566845147
"98",267.126426355318
"99",266.235665634465
"100",265.352435797373
